,Date,Close/Last,Volume,Open,High,Low
829,2018-02-22,178.99,17766680,178.7,180.21,177.41
830,2018-02-21,177.91,23166300,176.71,181.27,176.4
831,2018-02-20,176.01,21037920,175.77,177.95,175.11
832,2018-02-16,177.36,20815180,178.99,179.88,176.3
833,2018-02-15,179.96,20697440,180.5,180.5,176.84
834,2018-02-14,179.52,28852470,173.45,179.81,173.2119
835,2018-02-13,173.15,21431580,175.62,175.97,173.1
836,2018-02-12,176.41,32005590,177.06,177.545,171.84
837,2018-02-09,176.11,39826840,174.76,176.9,167.18
838,2018-02-08,171.58,38167570,181.01,181.84,171.4815
839,2018-02-07,180.18,27130700,184.15,185.0817,179.95
840,2018-02-06,185.31,37640430,178.57,185.77,177.74
841,2018-02-05,181.26,32772080,186.93,190.61,180.61
842,2018-02-02,190.28,25954720,192.04,194.21,189.98
843,2018-02-01,193.09,53938680,188.22,195.32,187.89
844,2018-01-31,186.89,36542750,188.37,189.83,185.22
845,2018-01-30,187.12,20724760,183.01,188.18,181.84
846,2018-01-29,185.98,20297330,188.75,188.84,185.6301
847,2018-01-26,190.0,17423300,187.75,190.0,186.81
848,2018-01-25,187.48,17329360,187.95,188.62,186.6
849,2018-01-24,186.55,23423200,189.89,190.66,186.52
850,2018-01-23,189.35,25535950,186.05,189.55,185.55
851,2018-01-22,185.37,21005910,180.8,185.39,180.41
852,2018-01-19,181.29,26592440,180.85,182.37,180.1702
853,2018-01-18,179.8,23244010,178.13,180.98,177.08
854,2018-01-17,177.6,27781620,179.26,179.32,175.8
855,2018-01-16,178.39,35301770,181.5,181.75,178.04
856,2018-01-12,179.37,77429430,178.06,181.48,177.4
857,2018-01-11,187.77,8975761,188.4,188.4,187.38
858,2018-01-10,187.84,10517270,186.94,187.89,185.63
859,2018-01-09,187.87,12358070,188.7,188.8,187.1
860,2018-01-08,188.28,17975230,187.2,188.9,186.33
861,2018-01-05,186.85,13553640,185.59,186.9,184.93
862,2018-01-04,184.33,13863960,184.9,186.21,184.0996
863,2018-01-03,184.67,16878260,181.88,184.78,181.33
864,2018-01-02,181.42,17915900,177.68,181.58,177.55
